If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Lentes de contato inteligentes serão o wearable definitivo,Decentralizing IoT networks through blockchain,Introducing New Relic Infrastructure,Peças Translúcidas,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Ray Kurzweil: The world isn't getting worse - our information is getting better
#Sentaquelávemtextão,Google employees are adding 'Lady' to their job titles to fight sexism,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,Introducing Ask a Female Engineer,O dia em que tive mais medo de estar errada.
Governo brasileiro cria manual para contratação de cloud,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .,"5 awesome Google Keep features you aren't using, but should be",Mobile marketing statistics 2016,The AI business landscape
Up your app's sharing game with DirectShare - Google Developers,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Getting Started with Activity & Fragment Transitions (part 1),Designing smart notifications,Building more accessible technology
Google acquires deep search engine Kifi to enhance its Spaces group chat app,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",The economic essentials of digital strategy,Algorithms and architecture for job recommendations,This startup uses machine learning and satellite imagery to predict crop yields,The AI business landscape
"Google launches Springboard, an AI-powered assistant for its enterprise customers","Google acquires Synergyse, an interactive training service for Google Apps","Hello, a nova rede social do Orkut, está liberada no Brasil",The AI business landscape,5 reasons your employees aren't sharing their knowledge,Inbox by Gmail ganha formatação de texto | Google Discovery
"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Do you want Crappy Agile?,Inbox by Gmail ganha formatação de texto | Google Discovery,Nubank começa a testar seu programa de fidelidade - Empresas Tech
Why Learning Angular 2 Was Excruciating,My experience with Google's Associate Android Developer Certification,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Jenkins 2.0 is here!,Microsoft's Open Source Love Affair Reaches New Heights,SOA com microserviços - Sensedia
Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,Investimentos em coaching e mentoring aumentam nas empresas,4 Reasons Managers Should Spend More Time on Coaching,Lean IT is all about people - o Lean na TI é focado em pessoas
Gartner Reprint,Gartner Reprint,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Top Programming Languages Trends: The Rise of Big Data,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Shopping em BH terá fazenda urbana de 2.700 m²
Python Is Not Java (dirtSimple.org),How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,Firebase and Google Cloud: better together,Assista a entrevista de Linus Torvalds no TED legendada,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Front in BH 2016
Android Studio 2.2,"A whole new GitHub Universe: announcing new tools, forums, and features",Quick Tip: Working with the JavaScript Battery API,Elastic Stack 5.0.0 Released,Olli: Artificial Intelligence for the real world of connected commuting,Chrome OS now has Material Design for the desktop
Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Cracking the Job Interview with TensorFlow,System Code Geeks are giving away a FREE Sublime Text Editor License,Communication patterns in a Microservice world,Bring Your App To Life with CALayers,Chrome DevTools - Console API Reference
Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Transfer Style But Not Color,Google's Cloud Machine Learning service is now in public beta,Google lags behind Amazon and Microsoft's cloud in one important area,Scala is the new golden child,"Telecoms open shop on Madison Avenue, but will brands buy?"
Blaise Agüera y Arcas: How computers are learning to be creative,Artificial intelligence produces realistic sounds that fool humans,How enterprise architects can help ensure success with digital transformations,Why Deep Learning Is Suddenly Changing Your Life,The return of the machinery question,How will bots make money? Here are 7 business models
Former Google career coach shares a visual trick for figuring out what to do with your life,Qual é o valor da área de T&D na sua empresa?,4 Reasons Managers Should Spend More Time on Coaching,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil
How I sped up the initial render of my Polymer app by 86%,Acesse a versão Material Design do YouTube | Google Discovery,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Progressive Web App - first introduced on Google I/O | airberlin,Squads não-suicidas - Hipsters #08,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro"
Using behavioral data to improve customer satisfaction,It's The Future,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Google's Cloud Machine Learning service is now in public beta,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,"The ""Joel Test"" for Data Science"
Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Shopping em BH terá fazenda urbana de 2.700 m²,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs
Google Cloud Goes to the Farm,"Amazon open-sources its own deep learning software, DSSTNE",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Google lags behind Amazon and Microsoft's cloud in one important area,Why Google App Engine rocks: A Google engineer's take,The AI business landscape
DBA BRASIL no INTEROPMIX 2016,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Elastic Stack 5.0.0 Released,Internet of Things Drives Outcome-Based Business Models,Closure Compiler in JavaScript,Laboratório da Disney cria robô que pula
Jury finds Google's implementation of Java in Android was fair use,Google's cloud platform is now a force to be reckoned with,9 Non-Threatening Leadership Strategies for Women,A minha viagem à Maternidade #tetodomundo,"An independent organization just ranked Google as the best cloud, beating Amazon",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Two Different Sales Motions . . . .,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Rewiring Citi for the digital age,Meet the new Brazilian consumer,7 Questions to Ask Before Your Next Digital Transformation
Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Bradesco vai lançar novo banco digital: o Next.,The Drive to Bank on Digital
How to finish 3D printed PLA objects,Peças Translúcidas,Internet of Things Drives Outcome-Based Business Models,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery"
Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,CMN regulamenta abertura de conta de depósito por meio eletrônico,Visa inaugura Co-Creation Center em São Paulo,Mobile Time,The new tech talent you need to succeed in digital,Nubank começa a testar seu programa de fidelidade - Empresas Tech
Top Programming Languages Trends: The Rise of Big Data,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Gartner Reprint,Assessing Salesforce's platform and ecosystem | ZDNet,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,Prisma for Android is now live for all in the Google Play Store
"No, Apple isn't the next BlackBerry - it's the next Microsoft",The Physical Web,Wide & Deep Learning: Better Together with TensorFlow,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,Top 10 Intranet Trends of 2016,The AI business landscape
11 Internet of Things (IoT) Protocols You Need to Know About,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,Como a Microsoft está trabalhando com o conceito de IoT - Startupi
Squads não-suicidas - Hipsters #08,Progressive Web App - first introduced on Google I/O | airberlin,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",How I sped up the initial render of my Polymer app by 86%,This Super Accurate Portrait Selection Tech Uses Neural Networks,Wide & Deep Learning: Better Together with TensorFlow
How to Design a Walkthrough That Users Will Read,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Why porting an iOS design to Android will not work,Designing smart notifications,Up your app's sharing game with DirectShare - Google Developers,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
Do You Suffer From Deployment Anxiety? - DZone DevOps,New Amazon Linux Container Image for Cloud and On-Premises Workloads,Client-side ranking to more efficiently show people stories in feed,You don't talk about refactoring club,Live asynchronously.,Seniority
Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Quick Tip: Working with the JavaScript Battery API,Anti-If: The missing patterns,Comparing React.js to Vue.js for dynamic tabular data,You don't talk about refactoring club,Effective learning through code workshops | Box Blog
Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Cubr,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Grupo de bancos adere à tecnologia do bitcoin em transações,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi
"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",This Super Accurate Portrait Selection Tech Uses Neural Networks,Wide & Deep Learning: Better Together with TensorFlow,5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Why Deep Learning Is Suddenly Changing Your Life
"GitHub broke my 1,000 day streak - Free Code Camp",Jenkins 2.0 is here!,The hardest thing in computer science,What Color is Your Function?,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,Wide & Deep Learning: Better Together with TensorFlow
The End Of Apple Man,How to Design a Walkthrough That Users Will Read,Why porting an iOS design to Android will not work,Google may be considering Swift for use on Android,"Fresco, sim! - Android Dev BR",The Importance of Code Reviews
The Netflix Tech Blog: Netflix Billing Migration to AWS,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Notes on Reactive Programming Part I: The Reactive Landscape,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Building Flipkart Lite: A Progressive Web App
Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Communication patterns in a Microservice world,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Microservices testing,Spring Boot 1.5.1 released,Java 8 Best Practices Cheat Sheet
AEM 6.1 Package Manager Metadata Files,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Multi-Channel Marketing in 2015 - It's not rocket science.,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Custo do Erro - Cinco motivos para investir em automação de testes,Do You Suffer From Deployment Anxiety? - DZone DevOps
Skill swarms - a new way to share expertise and work smarter together - Skillhive,5 reasons your employees aren't sharing their knowledge,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)","Secret's founder returns with Bold, a Medium for enterprise",A step-by-step guide to agile growth experiments,The barbell effect of machine learning.
Do you want Crappy Agile?,Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,"Agile is Dead, Long Live Continuous Delivery - Gradle",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
Microsoft expands its support for Docker containers,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Acesse a versão Material Design do YouTube | Google Discovery,Aplicação de visão computacional com OpenCV,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Google lança experimentos com inteligência artificial | Google Discovery
"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",6 reasons why I like KeystoneML,"The ""Joel Test"" for Data Science",Google's Cloud Machine Learning service is now in public beta,Using behavioral data to improve customer satisfaction,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber
Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,Nova pulseira tecnológica avisa se você já bebeu demais,1º Congresso Brasileiro de IoT - Embarcados,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Google lança experimentos com inteligência artificial | Google Discovery
Iniciando com o Docker: Criando suas próprias imagens - Tableless,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Why Is Learning Drupal Hard?,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Docker 1.12: Now with Built-in Orchestration!
Bayer anuncia compra da Monsanto por US$ 66 bilhões,Will blockchain drive the fourth Industrial Revolution?,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Agronegócio mantém crescimento com tecnologia - inova.jor,Skill swarms - a new way to share expertise and work smarter together - Skillhive,Docker e .Net
Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Confused by blockchains? Revolution vs Evolution,Measuring email effectiveness in retail banking,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Banking Needs a Customer Experience Wake-Up Call,Design Kit: Prototyping
Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Nubank e Goldman fecham parceria de R$ 200 milhões,Bradesco lança serviço inédito para estimular o hábito de poupar,Measuring email effectiveness in retail banking,The Future of Digital Banking is Now
Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Shopping em BH terá fazenda urbana de 2.700 m²,Berners-Lee quer criar outra Web,Microsoft's Open Source Love Affair Reaches New Heights
Welcome Google Cloud Platform!,Why Google App Engine rocks: A Google engineer's take,The AI business landscape,An overview of web service solutions in Drupal 8,"Amazon open-sources its own deep learning software, DSSTNE",Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab
Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",The return of the machinery question,Staying one step ahead at Pixar: An interview with Ed Catmull,7 Questions to Ask Before Your Next Digital Transformation,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
Marketplace,Por que o Walmart não é Walmart no Brasil,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,Não existe frete grátis!
Conselho da SABMiller aceita proposta de compra da AB InBev,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Meet the new Brazilian consumer
Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The future of the shopping mall,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Quando usar paginação e quando usar scroll infinito?,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls"
Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,big data = real time,Organizing for digital acceleration: Making a two-speed IT operating model work,A saga do jovem CEO da Dasa,Why the customer experience matters,Design Sprint: onde o design e a velocidade importam
The Java 8 API Design Principles,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications","Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",The hardest thing in computer science,Introducing Kotlin support in Spring Framework 5.0,Building Flipkart Lite: A Progressive Web App
Things you probably didn't know you could do with Chrome's Developer Console,Mobify report reveals impact of mobile website speed,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Don't Start Big, Start a Little Snowball"
Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Alecrim/AlecrimCoreData,What to Expect at WWDC 2016
Hype Driven Development,Tasting Dagger 2 on Android,Things you probably didn't know you could do with Chrome's Developer Console,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Criando ícones animados no Android,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack
Quando usar paginação e quando usar scroll infinito?,The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Shopping app Spring's redesign could be a game-changer,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons
XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,A digital crack in banking's business model,8 Insanely Simple Productivity Hacks,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Nubank e Goldman fecham parceria de R$ 200 milhões
"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Ordering coffee in Italy: the 10 commandments,Joel on Software,Alecrim/AlecrimCoreData
Serverless Architectures,What to Inspect When You are Inspecting!,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Spring Boot 1.5.1 released,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
CSS Containment in Chrome 52 | Web Updates - Google Developers,"Apple's new file manager, APFS, is awesome",The five phases of migrating to Google Cloud Platform,19 Tips For Everyday Git Use,Containers are not VMs,What to Inspect When You are Inspecting!
Java 8 Streams : 10 missing features,containerd - a core container runtime project for the industry - Docker Blog,Why Programmers Want Private Offices,What makes a good (Android) Software Engineer,Hype Driven Development,Serverless real-time architecture on AWS: there is a way !
Message buttons and the Slack API - Slack Platform Blog,Aplicação de visão computacional com OpenCV,How I sped up the initial render of my Polymer app by 86%,Acesse a versão Material Design do YouTube | Google Discovery,"Autofill: What web devs should know, but don't",Squads não-suicidas - Hipsters #08
Design Patterns: Progressive Disclosure for Mobile Apps,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Ordering coffee in Italy: the 10 commandments,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Will blockchain drive the fourth Industrial Revolution?,Agronegócio mantém crescimento com tecnologia - inova.jor,Este texto do Ranieri é a melhor coisa que você lerá hoje
SOA com microserviços - Sensedia,Microservices: Real Architectural Patterns,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Building Spring Cloud Microservices That Strangle Legacy Systems,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi
Nubank começa a testar seu programa de fidelidade - Empresas Tech,Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Say goodbye to traditional customer segmentation "" Banking Technology",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
Mary Meeker's essential 2016 Internet Trends Report,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,The AI business landscape,Touch (TV Series 2012-2013),Wide & Deep Learning: Better Together with TensorFlow,Como a Microsoft está trabalhando com o conceito de IoT - Startupi
Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits,Digital Health Coaching,Facebook's WhatsApp does something very different than Google,What Google AMP Means for Every Marketer,A New Number Format for Computers Could Nuke Approximation Errors for Good,"Pedágio das rodovias estaduais de SP sobe 9,32% na sexta-feira - O Liberal"
"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",Bradesco vai lançar novo banco digital: o Next.,A New Number Format for Computers Could Nuke Approximation Errors for Good,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Facebook is open-sourcing its AI bot-building research,What Color is Your Function?
How enterprise architects can help ensure success with digital transformations,Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc,Blaise Agüera y Arcas: How computers are learning to be creative,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Confirmed: Walmart buys Jet.com for $3B in cash
The real reasons you procrastinate - and how to stop,The Children's Illustrated Guide to Kubernetes,What to Inspect When You are Inspecting!,How to Design a Walkthrough That Users Will Read,Tech in Brazil is booming despite the country's political troubles,The End Of Apple Man
Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Itaú é pioneiro do blockchain,Confused by blockchains? Revolution vs Evolution,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Nubank pode fechar as portas se BC confirmar mudança amanhã
Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Facebook is open-sourcing its AI bot-building research,Microservices Architecture on Google App Engine,"Don't Start Big, Start a Little Snowball"
"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Modelando APIs REST com Swagger,Xamarin for Everyone,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Anti-If: The missing patterns
O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Migrating from Parse to Bluemix,Introducing New Relic Infrastructure,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Decentralizing IoT networks through blockchain,The moment when you realize every server in the world is vulnerable - Free Code Camp
Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,My favorite people and resources to learn Android programming from,Testes unitários vs aceitação - Android Dev BR,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",The Ten Commandments of Egoless Programming
Como testar exceções em Java com o JUnit - Code a Test,Don't document your code. Code your documentation.,Concrete things you can do about your technical debt,Using DiffUtil in Android RecyclerView,IoT a favor do relacionamento médico-paciente,The sales secrets of high-growth companies
Artificial intelligence produces realistic sounds that fool humans,Blaise Agüera y Arcas: How computers are learning to be creative,The return of the machinery question,How will bots make money? Here are 7 business models,Two Different Sales Motions . . . .,Top 10 Intranet Trends of 2016
Custo do Erro - Cinco motivos para investir em automação de testes,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Closure Compiler in JavaScript,"5 awesome Google Keep features you aren't using, but should be",Shopping em BH terá fazenda urbana de 2.700 m²
Quick Tip: Working with the JavaScript Battery API,Comparing React.js to Vue.js for dynamic tabular data,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,"A whole new GitHub Universe: announcing new tools, forums, and features",Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Building Flipkart Lite: A Progressive Web App
"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Promoting gender equality through emoji �� ��,#iLookLikeAnEngineer: One Year Later,Criadas para casar,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI
The moment when you realize every server in the world is vulnerable - Free Code Camp,Dark Scrum,Prisma for Android is now live for all in the Google Play Store,Sam Newman - Backends For Frontends,Berners-Lee quer criar outra Web,Migrating from Parse to Bluemix
"The Languages, Frameworks and Tools You Should Learn in 2017",19 Tips For Everyday Git Use,7 Tips to Create a Company Learning Culture like Google - Without Resources,The Business Case for Progressive Web Apps,You don't talk about refactoring club,15 Awesome Sublime Text Plugins For Web Development
Contêiner do Windows no Windows 10,15 minutos sobre Docker,"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",Most Interesting APIs in 2016: Cognitive Computing,Top Programming Languages Trends: The Rise of Big Data,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery
Aplicação de visão computacional com OpenCV,Google lança experimentos com inteligência artificial | Google Discovery,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Acesse a versão Material Design do YouTube | Google Discovery,How I sped up the initial render of my Polymer app by 86%,Burger King aceita pedidos via mensagens no Facebook - Startupi
Facebook says its new AI is almost as good as humans at understanding context,Blaise Agüera y Arcas: How computers are learning to be creative,Why Deep Learning Is Suddenly Changing Your Life,How will bots make money? Here are 7 business models,The return of the machinery question,Artificial intelligence produces realistic sounds that fool humans
"Docker - Build, Ship, and Run Any App, Anywhere",Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Most Interesting APIs in 2016: Cognitive Computing,Par de alianças impede que seu parceiro assista Netflix sem você,Hacked Website Report - 2016/Q3
Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Up your app's sharing game with DirectShare - Google Developers,The Importance of Code Reviews,Sam Newman - Backends For Frontends,My favorite people and resources to learn Android programming from
Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Google lags behind Amazon and Microsoft's cloud in one important area,Spark comparison: AWS vs. GCP,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why Google App Engine rocks: A Google engineer's take
Designing smart notifications,Up your app's sharing game with DirectShare - Google Developers,Building more accessible technology,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why porting an iOS design to Android will not work
The Ten Commandments of Egoless Programming,Evernote anuncia integração com Google Drive | Google Discovery,Build Quality In: The Key to Continuous Delivery in Kanban,The technology behind preview photos,Mastering Bash and Terminal,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio
Laboratório da Disney cria robô que pula,DBA BRASIL no INTEROPMIX 2016,15 Awesome Sublime Text Plugins For Web Development,Android Studio 2.2,Peças Translúcidas,O chefe é gay. E daí?
Accidental discovery could help batteries last years longer,Making open source data more available,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,Confused by blockchains? Revolution vs Evolution,Google researchers teach AIs to see the important parts of images - and tell you about them,The End Of Apps As We Know Them - Inside Intercom
